time,value
channel=Topo, rate=1158622.32 Hz, mock=true
0.000000000000000000e+00,8.259748401963785680e-01
8.630940203786235742e-07,7.849025045069030204e-01
1.726188040757247148e-06,7.395405584068964755e-01
2.589282061135870829e-06,8.759683939283297027e-01
3.452376081514494297e-06,6.944154603104315537e-01
4.315470101893117765e-06,7.584371393557665098e-01
5.178564122271741657e-06,6.604307882149001996e-01
6.041658142650365549e-06,6.915410071282130922e-01
6.904752163028988594e-06,7.802046078688815722e-01
7.767846183407611639e-06,5.948413803042802428e-01
8.630940203786235530e-06,7.756094413127494480e-01
9.494034224164859422e-06,7.009125542717978830e-01
1.035712824454348331e-05,8.211581765960375145e-01
1.122022226492210721e-05,6.893019919931211437e-01
1.208331628530073110e-05,7.517870845883125597e-01
1.294641030567935330e-05,7.124441004832344770e-01
1.380950432605797719e-05,6.179567043233143986e-01
1.467259834643660108e-05,7.152843659369385598e-01
1.553569236681522328e-05,7.518928021835952213e-01
1.639878638719384886e-05,7.627077459439923768e-01
1.726188040757247106e-05,6.214103478052019902e-01
1.812497442795109665e-05,6.580407262703831250e-01
1.898806844832971884e-05,9.643043588507470565e-01
1.985116246870834104e-05,8.424266479252704443e-01
2.071425648908696663e-05,7.278396825179224150e-01
2.157735050946558883e-05,8.222793295152645010e-01
2.244044452984421441e-05,8.535989534290664427e-01
2.330353855022283661e-05,8.476092540850276302e-01
2.416663257060146220e-05,3.466147943406286402e-01
2.502972659098008439e-05,7.880658410950649451e-01
2.589282061135870659e-05,7.270913188963953333e-01
2.675591463173733218e-05,7.492657097795111243e-01
2.761900865211595438e-05,8.596952936536285117e-01
2.848210267249457996e-05,4.698078424048002244e-01
2.934519669287320216e-05,7.216202802377316150e-01
3.020829071325182436e-05,7.283634106496411631e-01
3.107138473363044655e-05,7.489873532038402448e-01
3.193447875400907553e-05,7.853144742334925432e-01
3.279757277438769773e-05,6.468669371104190935e-01
3.366066679476631992e-05,5.564351517767781585e-01
3.452376081514494212e-05,6.954569063671411921e-01
3.538685483552356432e-05,9.001613930878293868e-01
3.624994885590219329e-05,7.853345091338177486e-01
3.711304287628081549e-05,6.537038332658166029e-01
3.797613689665943769e-05,9.039521225864102227e-01
3.883923091703805989e-05,7.731487506248095887e-01
3.970232493741668208e-05,6.846013070946674883e-01
4.056541895779531106e-05,8.222334743977914862e-01
4.142851297817393326e-05,9.122539304379022607e-01
4.229160699855255545e-05,5.526427746739066560e-01
4.315470101893117765e-05,9.020817115802547415e-01
4.401779503930979985e-05,7.153170580909483656e-01
4.488088905968842882e-05,7.069072705600183415e-01
4.574398308006705102e-05,6.949700564445085993e-01
4.660707710044567322e-05,7.960926678431290426e-01
4.747017112082429542e-05,7.446475985206786330e-01
4.833326514120292439e-05,7.082966999096242944e-01
4.919635916158154659e-05,5.923968467510449809e-01
5.005945318196016879e-05,6.554657657861208131e-01
5.092254720233879099e-05,6.433706121817913681e-01
5.178564122271741318e-05,4.925401082646283513e-01
5.264873524309604216e-05,6.542971653819885658e-01
5.351182926347466435e-05,5.875975612342967391e-01
5.437492328385328655e-05,8.171240469173245424e-01
5.523801730423190875e-05,7.245800200988408157e-01
5.610111132461053095e-05,8.973617347217774931e-01
5.696420534498915992e-05,5.834046991374135516e-01
5.782729936536778212e-05,5.977504055586013720e-01
5.869039338574640432e-05,7.375054778327279070e-01
5.955348740612502652e-05,6.246290754469259188e-01
6.041658142650364871e-05,6.204144087069382030e-01
6.127967544688227091e-05,5.301265026454977658e-01
6.214276946726089311e-05,6.027601334604730798e-01
6.300586348763952886e-05,8.961384979442491572e-01
6.386895750801815106e-05,6.272668521578503853e-01
6.473205152839677325e-05,6.758700086900658599e-01
6.559514554877539545e-05,7.493011592586381608e-01
6.645823956915401765e-05,8.060005059718504672e-01
6.732133358953263985e-05,8.389650128255539130e-01
6.818442760991126205e-05,7.910831876085950842e-01
6.904752163028988424e-05,9.112827650163670690e-01
6.991061565066850644e-05,1.059709479011522237e+00
7.077370967104712864e-05,7.566627589432097789e-01
7.163680369142576439e-05,7.827583623309957161e-01
7.249989771180438659e-05,6.860668174172681599e-01
7.336299173218300879e-05,7.367699731501461402e-01
7.422608575256163098e-05,6.535864336263108587e-01
7.508917977294025318e-05,7.075232132946202013e-01
7.595227379331887538e-05,6.736434444741463690e-01
7.681536781369749758e-05,7.065381782482242912e-01
7.767846183407611977e-05,7.031403904507661506e-01
7.854155585445474197e-05,8.146496525946317346e-01
7.940464987483336417e-05,7.125140097503704917e-01
8.026774389521199992e-05,5.839053157041976805e-01
8.113083791559062212e-05,7.303647573590535957e-01
8.199393193596924432e-05,6.729155900589949280e-01
8.285702595634786651e-05,8.170566838940203080e-01
8.372011997672648871e-05,8.550742594753114600e-01
8.458321399710511091e-05,8.588970060768035264e-01
8.544630801748373311e-05,7.762767701688212396e-01
8.630940203786235530e-05,4.578549759005257624e-01
8.717249605824097750e-05,6.985647582399492350e-01
8.803559007861959970e-05,6.442241311386662783e-01
8.889868409899823545e-05,7.891855979568118684e-01
8.976177811937685765e-05,6.167283074469468440e-01
9.062487213975547985e-05,5.861464097167432552e-01
9.148796616013410204e-05,7.732692467956815419e-01
9.235106018051272424e-05,7.255285647617987221e-01
9.321415420089134644e-05,7.335758284821279895e-01
9.407724822126996864e-05,8.862645591328197625e-01
9.494034224164859084e-05,5.690089661824772049e-01
9.580343626202721303e-05,7.940565808252479929e-01
9.666653028240584878e-05,7.778374266071119703e-01
9.752962430278447098e-05,7.015245863455933373e-01
